クリエイティブ事業部,,リミット,,,,,,
等級,給料額,一般,副主任,主任,係長,課長,次長,部長
1,300000,○,○,○,○,○,,
2,301500,○,○,○,○,○,,
3,303000,○,○,○,○,○,,
4,304500,○,○,○,○,○,,
5,306000,○,○,○,○,○,,
6,307500,○,○,○,○,○,,
7,309000,○,○,○,○,○,,
8,310500,○,○,○,○,○,,
9,312000,○,○,○,○,○,,
10,313500,○,○,○,○,○,,
11,315000,○,○,○,○,○,,
12,316500,○,○,○,○,○,,
13,318000,○,○,○,○,○,,
14,319500,○,○,○,○,○,,
15,321000,○,○,○,○,○,,
16,322500,○,○,○,○,○,,
17,324000,○,○,○,○,○,,
18,325500,○,○,○,○,○,,
19,327000,○,○,○,○,○,,
20,328500,○,○,○,○,○,,
21,330000,○,○,○,○,○,,
22,331500,○,○,○,○,○,,
23,333000,○,○,○,○,○,,
24,334500,○,○,○,○,○,,
25,336000,○,○,○,○,○,,
26,337500,○,○,○,○,○,,
27,339000,○,○,○,○,○,,
28,340500,○,○,○,○,○,,
29,342000,○,○,○,○,○,,
30,343500,○,○,○,○,○,,
31,345000,○,○,○,○,○,,
32,346500,○,○,○,○,○,,
33,348000,○,○,○,○,○,,
34,349500,○,○,○,○,○,,
35,351000,○,○,○,○,○,,
36,352500,○,○,○,○,○,,
37,354000,○,○,○,○,○,,
38,355500,○,○,○,○,○,,
39,357000,○,○,○,○,○,,
40,358500,○,○,○,○,○,○,○
41,360000,○,○,○,○,○,○,○
42,361500,○,○,○,○,○,○,○
43,363000,○,○,○,○,○,○,○
44,364500,○,○,○,○,○,○,○
45,366000,○,○,○,○,○,○,○
46,367500,○,○,○,○,○,○,○
47,369000,○,○,○,○,○,○,○
48,370500,○,○,○,○,○,○,○
49,372000,○,○,○,○,○,○,○
50,373500,○,○,○,○,○,○,○
51,375000,,○,○,○,○,○,○
52,376500,,○,○,○,○,○,○
53,378000,,○,○,○,○,○,○
54,379500,,○,○,○,○,○,○
55,381000,,○,○,○,○,○,○
56,382500,,○,○,○,○,○,○
57,384000,,○,○,○,○,○,○
58,385500,,○,○,○,○,○,○
59,387000,,○,○,○,○,○,○
60,388500,,○,○,○,○,○,○
61,390000,,○,○,○,○,○,○
62,391500,,○,○,○,○,○,○
63,393000,,○,○,○,○,○,○
64,394500,,○,○,○,○,○,○
65,396000,,○,○,○,○,○,○
66,397500,,○,○,○,○,○,○
67,399000,,○,○,○,○,○,○
68,400500,,○,○,○,○,○,○
