施工事業部,,リミット,,,,,,
等級,給料額,一般,副主任,主任,係長,課長,次長,部長
1,230000,○,○,○,○,○,,
2,231500,○,○,○,○,○,,
3,233000,○,○,○,○,○,,
4,234500,○,○,○,○,○,,
5,236000,○,○,○,○,○,,
6,237500,○,○,○,○,○,,
7,239000,○,○,○,○,○,,
8,240500,○,○,○,○,○,,
9,242000,○,○,○,○,○,,
10,243500,○,○,○,○,○,,
11,245000,○,○,○,○,○,,
12,246500,○,○,○,○,○,,
13,248000,○,○,○,○,○,,
14,249500,○,○,○,○,○,,
15,251000,○,○,○,○,○,,
16,252500,○,○,○,○,○,,
17,254000,○,○,○,○,○,,
18,255500,○,○,○,○,○,,
19,257000,○,○,○,○,○,,
20,258500,○,○,○,○,○,,
21,260000,○,○,○,○,○,,
22,261500,○,○,○,○,○,,
23,263000,○,○,○,○,○,,
24,264500,○,○,○,○,○,,
25,266000,○,○,○,○,○,,
26,267500,○,○,○,○,○,,
27,269000,○,○,○,○,○,,
28,270500,○,○,○,○,○,,
29,272000,○,○,○,○,○,,
30,273500,○,○,○,○,○,,
31,275000,○,○,○,○,○,,
32,276500,○,○,○,○,○,,
33,278000,○,○,○,○,○,,
34,279500,○,○,○,○,○,,
35,281000,○,○,○,○,○,,
36,282500,○,○,○,○,○,,
37,284000,○,○,○,○,○,,
38,285500,○,○,○,○,○,,
39,287000,○,○,○,○,○,,
40,288500,○,○,○,○,○,,
41,290000,○,○,○,○,○,,
42,291500,○,○,○,○,○,,
43,293000,○,○,○,○,○,,
44,294500,○,○,○,○,○,,
45,296000,○,○,○,○,○,,
46,297500,○,○,○,○,○,,
47,299000,○,○,○,○,○,,
48,300500,○,○,○,○,○,,
49,302000,○,○,○,○,○,,
50,303500,○,○,○,○,○,○,○
51,305000,,○,○,○,○,○,○
52,306500,,○,○,○,○,○,○
53,308000,,○,○,○,○,○,○
54,309500,,○,○,○,○,○,○
55,311000,,○,○,○,○,○,○
56,312500,,○,○,○,○,○,○
57,314000,,○,○,○,○,○,○
58,315500,,○,○,○,○,○,○
59,317000,,○,○,○,○,○,○
60,318500,,○,○,○,○,○,○
61,320000,,○,○,○,○,○,○
62,321500,,○,○,○,○,○,○
63,323000,,○,○,○,○,○,○
64,324500,,○,○,○,○,○,○
65,326000,,○,○,○,○,○,○
66,327500,,○,○,○,○,○,○
67,329000,,○,○,○,○,○,○
68,330500,,○,○,○,○,○,○
69,332000,,○,○,○,○,○,○
70,333500,,○,○,○,○,○,○
71,335000,,,○,○,○,○,○
72,336500,,,○,○,○,○,○
73,338000,,,○,○,○,○,○
74,339500,,,○,○,○,○,○
75,341000,,,○,○,○,○,○
76,342500,,,○,○,○,○,○
77,344000,,,○,○,○,○,○
78,345500,,,○,○,○,○,○
79,347000,,,○,○,○,○,○
80,348500,,,○,○,○,○,○
81,350000,,,,○,○,○,○
82,351500,,,,○,○,○,○
83,353000,,,,○,○,○,○
84,354500,,,,○,○,○,○
85,356000,,,,○,○,○,○
86,357500,,,,○,○,○,○
87,359000,,,,○,○,○,○
88,360500,,,,○,○,○,○
89,362000,,,,○,○,○,○
90,363500,,,,○,○,○,○
91,365000,,,,,○,○,○
92,366500,,,,,○,○,○
93,368000,,,,,○,○,○
94,369500,,,,,○,○,○
95,371000,,,,,○,○,○
96,372500,,,,,○,○,○
97,374000,,,,,○,○,○
98,375500,,,,,○,○,○
99,377000,,,,,○,○,○
100,378500,,,,,○,○,○
101,380000,,,,,,○,○
102,381500,,,,,,○,○
103,383000,,,,,,○,○
104,384500,,,,,,○,○
105,386000,,,,,,○,○
106,387500,,,,,,○,○
107,389000,,,,,,○,○
108,390500,,,,,,○,○
109,392000,,,,,,○,○
110,393500,,,,,,○,○
111,395000,,,,,,○,○
112,396500,,,,,,○,○
113,398000,,,,,,○,○
114,399500,,,,,,○,○
115,401000,,,,,,○,○
116,402500,,,,,,○,○
117,404000,,,,,,○,○
118,405500,,,,,,○,○
119,407000,,,,,,○,○
120,408500,,,,,,○,○
121,410000,,,,,,○,○
122,411500,,,,,,○,○
123,413000,,,,,,○,○
124,414500,,,,,,○,○
125,416000,,,,,,○,○
126,417500,,,,,,○,○
127,419000,,,,,,○,○
128,420500,,,,,,○,○
129,422000,,,,,,○,○
130,423500,,,,,,○,○
131,425000,,,,,,○,○
132,426500,,,,,,○,○
133,428000,,,,,,○,○
134,429500,,,,,,○,○
135,431000,,,,,,○,○
136,432500,,,,,,○,○
137,434000,,,,,,○,○
138,435500,,,,,,○,○
139,437000,,,,,,○,○
140,438500,,,,,,○,○
141,440000,,,,,,○,○
142,441500,,,,,,○,○
143,443000,,,,,,○,○
144,444500,,,,,,○,○
145,446000,,,,,,○,○
146,447500,,,,,,○,○
147,449000,,,,,,○,○
148,450500,,,,,,○,○
149,452000,,,,,,○,○
150,453500,,,,,,○,○
151,455000,,,,,,○,○
152,456500,,,,,,○,○
153,458000,,,,,,○,○
154,459500,,,,,,○,○
155,461000,,,,,,○,○
156,462500,,,,,,○,○
157,464000,,,,,,○,○
158,465500,,,,,,○,○
159,467000,,,,,,○,○
160,468500,,,,,,○,○
161,470000,,,,,,○,○
162,471500,,,,,,○,○
163,473000,,,,,,○,○
164,474500,,,,,,○,○
165,476000,,,,,,○,○
166,477500,,,,,,○,○
167,479000,,,,,,○,○
168,480500,,,,,,○,○
169,482000,,,,,,○,○
170,483500,,,,,,○,○
171,485000,,,,,,○,○
172,486500,,,,,,○,○
173,488000,,,,,,○,○
174,489500,,,,,,○,○
175,491000,,,,,,○,○
176,492500,,,,,,○,○
177,494000,,,,,,○,○
178,495500,,,,,,○,○
179,497000,,,,,,○,○
180,498500,,,,,,○,○
181,500000,,,,,,○,○
182,501500,,,,,,○,○
183,503000,,,,,,○,○
184,504500,,,,,,○,○
185,506000,,,,,,○,○
186,507500,,,,,,○,○
187,509000,,,,,,○,○
188,510500,,,,,,○,○
189,512000,,,,,,○,○
190,513500,,,,,,○,○
191,515000,,,,,,○,○
192,516500,,,,,,○,○
193,518000,,,,,,○,○
194,519500,,,,,,○,○
195,521000,,,,,,○,○
196,522500,,,,,,○,○
197,524000,,,,,,○,○
198,525500,,,,,,○,○
199,527000,,,,,,○,○
200,528500,,,,,,○,○
